competition,date,match,team,pos,pos_role,player,rater,is_human,original_rating,goals,assists,shots_ontarget,shots_offtarget,shotsblocked,chances2score,drib_success,drib_unsuccess,keypasses,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,wasfouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,ycards,rcards,dangmistakes,countattack,offsides,goals_ag_otb,goals_ag_itb,saves_itb,saves_otb,saved_pen,missed_penalties,owngoals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness2goals,win,lost,is_home_team,minutesPlayed,game_duration
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,FW,FWL,Dimitri Payet,Kicker,1,1,1,1,1,1,1,0,3,1,4,92,44,14,4,6,4,4,14,5,0,1,25,0,2,0,0,2,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1.428571429,0.176155823,0.754464286,0.547945205,1.465723057,0.055555556,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AMC,Nicolae Stanciu,Kicker,1,2.5,0,0,0,1,1,0,1,1,3,33,16,4,0,1,1,1,4,8,2,1,12,0,1,0,0,1,1,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0.121665357,0.635338346,0.275362319,1.457930017,0,0,1,0,72,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AMC,Nicolae Stanciu,WhoScored,0,7.26,0,0,0,1,1,0,1,1,3,33,16,4,0,1,1,1,4,8,2,1,12,0,1,0,0,1,1,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0.121665357,0.635338346,0.275362319,1.457930017,0,0,1,0,72,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AMC,Nicolae Stanciu,SofaScore,0,7.6,0,0,0,1,1,0,1,1,3,33,16,4,0,1,1,1,4,8,2,1,12,0,1,0,0,1,1,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0.121665357,0.635338346,0.275362319,1.457930017,0,0,1,0,72,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,FW,FW,Florin Andone,Kicker,1,3.5,0,0,0,2,0,2,1,2,0,21,6,1,0,0,0,0,2,10,3,3,12,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.928571429,0.13356534,0.670634921,0.173913043,0.867720291,0,0,1,0,61,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,FW,FW,Florin Andone,WhoScored,0,5.84,0,0,0,2,0,2,1,2,0,21,6,1,0,0,0,0,2,10,3,3,12,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.928571429,0.13356534,0.670634921,0.173913043,0.867720291,0,0,1,0,61,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,FW,FW,Florin Andone,SofaScore,0,6.2,0,0,0,2,0,2,1,2,0,21,6,1,0,0,0,0,2,10,3,3,12,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.928571429,0.13356534,0.670634921,0.173913043,0.867720291,0,0,1,0,61,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AML,Bogdan Stancu,Kicker,1,4.5,1,0,1,1,0,2,0,0,0,33,18,6,0,0,4,3,0,3,1,11,11,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0.385342719,0.710084034,0.260869565,0.812280629,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AML,Bogdan Stancu,WhoScored,0,6.74,1,0,1,1,0,2,0,0,0,33,18,6,0,0,4,3,0,3,1,11,11,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0.385342719,0.710084034,0.260869565,0.812280629,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AML,Bogdan Stancu,SofaScore,0,6.7,1,0,1,1,0,2,0,0,0,33,18,6,0,0,4,3,0,3,1,11,11,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0.385342719,0.710084034,0.260869565,0.812280629,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,DF,DC,Vlad Chiriches,Kicker,1,3,0,0,0,0,0,0,0,0,0,38,20,3,0,0,6,1,4,3,1,0,6,1,0,2,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.200383375,0.635338346,0.275362319,0.606905658,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,DF,DC,Vlad Chiriches,WhoScored,0,6.81,0,0,0,0,0,0,0,0,0,38,20,3,0,0,6,1,4,3,1,0,6,1,0,2,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.200383375,0.635338346,0.275362319,0.606905658,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,DF,DC,Vlad Chiriches,SofaScore,0,7.2,0,0,0,0,0,0,0,0,0,38,20,3,0,0,6,1,4,3,1,0,6,1,0,2,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.200383375,0.635338346,0.275362319,0.606905658,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,DF,DR,Cristian Sapunaru,Kicker,1,3,0,0,0,0,0,0,0,1,0,45,16,3,0,4,4,1,2,4,0,1,14,1,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.174007615,0.603571429,0.260869565,0.553696007,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,DF,DR,Cristian Sapunaru,WhoScored,0,6.59,0,0,0,0,0,0,0,1,0,45,16,3,0,4,4,1,2,4,0,1,14,1,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.174007615,0.603571429,0.260869565,0.553696007,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,DF,DR,Cristian Sapunaru,SofaScore,0,6.4,0,0,0,0,0,0,0,1,0,45,16,3,0,4,4,1,2,4,0,1,14,1,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.174007615,0.603571429,0.260869565,0.553696007,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AMR,Adrian Popa,Kicker,1,3.5,0,0,0,0,0,0,0,2,0,24,7,4,0,3,2,0,4,5,0,1,10,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.928571429,0.128328695,0.635338346,0.144927536,0.52999203,0,0,1,0,82,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AMR,Adrian Popa,WhoScored,0,5.85,0,0,0,0,0,0,0,2,0,24,7,4,0,3,2,0,4,5,0,1,10,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.928571429,0.128328695,0.635338346,0.144927536,0.52999203,0,0,1,0,82,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,AMR,Adrian Popa,SofaScore,0,6.1,0,0,0,0,0,0,0,2,0,24,7,4,0,3,2,0,4,5,0,1,10,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.928571429,0.128328695,0.635338346,0.144927536,0.52999203,0,0,1,0,82,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,DMC,Ovidiu Hoban,Kicker,1,4,0,0,0,1,0,1,0,0,0,33,17,5,0,0,2,0,1,5,0,2,11,0,1,0,1,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.141453731,0.603571429,0.202898551,0.490963478,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,DMC,Ovidiu Hoban,WhoScored,0,6.12,0,0,0,1,0,1,0,0,0,33,17,5,0,0,2,0,1,5,0,2,11,0,1,0,1,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.141453731,0.603571429,0.202898551,0.490963478,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,MF,DMC,Ovidiu Hoban,SofaScore,0,6.4,0,0,0,1,0,1,0,0,0,33,17,5,0,0,2,0,1,5,0,2,11,0,1,0,1,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.141453731,0.603571429,0.202898551,0.490963478,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,GK,GK,Ciprian Tatarusanu,Kicker,1,3,0,0,0,0,0,0,0,0,0,28,12,6,0,0,6,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,0,0,0,0.785714286,0.076854362,0.574829932,0.130434783,0,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,GK,GK,Ciprian Tatarusanu,WhoScored,0,6.1,0,0,0,0,0,0,0,0,0,28,12,6,0,0,6,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,0,0,0,0.785714286,0.076854362,0.574829932,0.130434783,0,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,GK,GK,Ciprian Tatarusanu,SofaScore,0,6.2,0,0,0,0,0,0,0,0,0,28,12,6,0,0,6,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,0,0,0,0.785714286,0.076854362,0.574829932,0.130434783,0,0,0,1,0,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,Sub,Sub,Alexandru Chipciu,WhoScored,0,5.98,0,0,0,0,0,0,0,0,0,17,7,2,0,3,0,1,3,2,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0.105698444,0.603571429,0.15942029,0,0,0,1,0,18,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,Sub,Sub,Gabriel Torje,WhoScored,0,6.14,0,0,0,0,0,0,1,0,0,8,2,0,0,2,0,1,1,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.285714286,0,0.50297619,0.057971014,0,0,0,1,0,8,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",Romania,Sub,Sub,Denis Alibec,WhoScored,0,6.16,0,0,0,0,0,0,3,1,0,13,4,1,0,1,0,0,2,6,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.096489036,0.50297619,0.057971014,0,0,0,1,0,29,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,FW,FWR,Antoine Griezmann,SofaScore,0,6.7,0,0,0,3,2,3,0,0,0,27,13,4,0,0,0,0,1,3,0,1,11,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.073593566,0.635338346,0.232876712,2.026114174,0,1,0,1,66,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,FW,FWR,Antoine Griezmann,WhoScored,0,6.46,0,0,0,3,2,3,0,0,0,27,13,4,0,0,0,0,1,3,0,1,11,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.073593566,0.635338346,0.232876712,2.026114174,0,1,0,1,66,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,FW,FWR,Antoine Griezmann,Kicker,1,4,0,0,0,3,2,3,0,0,0,27,13,4,0,0,0,0,1,3,0,1,11,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.073593566,0.635338346,0.232876712,2.026114174,0,1,0,1,66,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DR,Bacary Sagna,SofaScore,0,7,0,0,0,0,0,0,0,0,1,79,34,5,1,0,2,1,2,3,7,0,11,0,1,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.214285714,0.122282067,0.710084034,0.479452055,2.022194095,0.055555556,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DR,Bacary Sagna,WhoScored,0,7.07,0,0,0,0,0,0,0,0,1,79,34,5,1,0,2,1,2,3,7,0,11,0,1,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.214285714,0.122282067,0.710084034,0.479452055,2.022194095,0.055555556,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DR,Bacary Sagna,Kicker,1,3.5,0,0,0,0,0,0,0,0,1,79,34,5,1,0,2,1,2,3,7,0,11,0,1,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.214285714,0.122282067,0.710084034,0.479452055,2.022194095,0.055555556,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DC,Adil Rami,SofaScore,0,7.3,0,0,0,0,0,0,0,0,0,76,43,9,0,0,1,6,7,0,6,0,16,1,2,7,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.134136952,0.603571429,0.397260274,1.556168361,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DC,Adil Rami,WhoScored,0,7.04,0,0,0,0,0,0,0,0,0,76,43,9,0,0,1,6,7,0,6,0,16,1,2,7,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.134136952,0.603571429,0.397260274,1.556168361,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DC,Adil Rami,Kicker,1,2.5,0,0,0,0,0,0,0,0,0,76,43,9,0,0,1,6,7,0,6,0,16,1,2,7,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.134136952,0.603571429,0.397260274,1.556168361,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DL,Patrice Evra,SofaScore,0,5.4,0,0,0,0,0,0,0,2,0,60,31,4,1,3,0,1,1,2,0,1,12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.215064076,0.635338346,0.410958904,1.386554381,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DL,Patrice Evra,WhoScored,0,5.67,0,0,0,0,0,0,0,2,0,60,31,4,1,3,0,1,1,2,0,1,12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.215064076,0.635338346,0.410958904,1.386554381,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,DF,DL,Patrice Evra,Kicker,1,4.5,0,0,0,0,0,0,0,2,0,60,31,4,1,3,0,1,1,2,0,1,12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.215064076,0.635338346,0.410958904,1.386554381,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,MF,MC,Paul Pogba,SofaScore,0,6.6,0,0,1,1,0,1,1,2,0,77,50,9,1,0,7,3,6,2,1,0,13,0,2,1,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.16774897,0.710084034,0.452054795,1.121139928,0,1,0,1,77,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,MF,MC,Paul Pogba,WhoScored,0,6.62,0,0,1,1,0,1,1,2,0,77,50,9,1,0,7,3,6,2,1,0,13,0,2,1,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.16774897,0.710084034,0.452054795,1.121139928,0,1,0,1,77,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,MF,MC,Paul Pogba,Kicker,1,4,0,0,1,1,0,1,1,2,0,77,50,9,1,0,7,3,6,2,1,0,13,0,2,1,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.16774897,0.710084034,0.452054795,1.121139928,0,1,0,1,77,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,GK,GK,Hugo Lloris,SofaScore,0,6.4,0,0,0,0,0,0,0,0,0,15,11,2,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.642857143,0.041239302,0.548701299,0.109589041,0,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,GK,GK,Hugo Lloris,WhoScored,0,6.2,0,0,0,0,0,0,0,0,0,15,11,2,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.642857143,0.041239302,0.548701299,0.109589041,0,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,GK,GK,Hugo Lloris,Kicker,1,2.5,0,0,0,0,0,0,0,0,0,15,11,2,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.642857143,0.041239302,0.548701299,0.109589041,0,0,1,0,1,90,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,Sub,Sub,Moussa Sissoko,WhoScored,0,5.94,0,0,0,1,0,1,0,0,0,6,3,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.571428571,0.136870914,0.52484472,0.02739726,0.5,0,1,0,1,0,90
Euro 2016,10/06/2016,"France - Romania, 2 - 1",France,Sub,Sub,Kingsley Coman,WhoScored,0,6.46,0,0,0,0,0,0,1,1,0,23,12,1,1,1,0,0,6,3,0,2,4,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.928571429,0.142231396,0.670634921,0.164383562,0.076923077,0.111111111,1,0,1,24,90
